postcode,,,,street_num,,city,State,name,phone,email,,website,Source,Latitude,Longitude
46808,,,,1612 Sherman Blvd.,,Ft. Wayne,IN,3 Rivers Natural Grocery,(260) 424-8812,,,http://www.3riversfood.coop/,https://www.ncg.coop/,41.094870909,-85.165700637
10003,,,,58 East 4th Street,,NewYork,NY,4th Street Food Co-op,212 674-3623,,,Food for change,,40.731443445,-73.988643
14620,,,,571 South Avenue,,Rochester,NY,Abundance Food Co-op,(585) 454-2667,,,http://www.abundance.coop/,https://www.ncg.coop/,43.132401028,-77.602108797
05640,,,,1313 Haggett Road,,Adamant,VT,Adamant Co-op Inc.,802 223-5760,,,Food for change,,44.3402547,-72.499142557
05640,,,,AdamantRoad/1313HaggettRd.,,"Adamant, Vermont",VT,AdamantCo-op,802-223-5760,http://www.adamantcoop.org/,,https://www.nationalco-opdirectory.com,,44.3402547,-72.499142557
14305,,,,2616HighlandAvenue,,"Niagara Falls, New York",NY,AfricanHeritageFoodCo-op,716-573-1844,http://myahfc.com,,https://www.nationalco-opdirectory.com,,43.114130851,-79.037223772
97211,,,,1500 N.E. Alberta Street,,Portland,OR,Alberta Cooperative Grocery,(503) 287-4333,info@albertagrocery.coop,,http://www.albertagrocery.coop/,https://www.ncg.coop/,45.565604291,-122.645969739
02879,,,,357 Main Street,,South Kingstown,RI,Alternative Food Co-op,401 789-2240,,,Food for change,,41.441488244,-71.503257969
58201,,,,214 Demers Avenue,,Grand Forks,ND,Amazing Grains,701 775-4542,,,Food for change,,47.895172151,-97.057457658
95468,,,,185MainStreet,,"Point Arena, California",CA,ArenaMarket&Café,707-882-3663,http://www.arenamarketandcafe.com,,https://www.nationalco-opdirectory.com,,38.9168057,-123.706494938
01610,,,,800 Main Street,,Worcester,MA,Artichoke Food Coop,,,,Food for change,,42.254912008,-71.817192437
97520,,,,237 North First Street,,Ashland,OR,Ashland Food Co-op,(541) 482-2237,contact@ashlandfood.coop,,https://www.ashlandfood.coop,https://www.ncg.coop/,42.197977992,-122.699158475
01754,,,,86 Powder Mill Road,,Maynard,MA,Assabet Co-op Market,(267) 405-3128,,,http://www.assabetmarket.coop,https://www.ncg.coop/,42.431555875,-71.454430291
97103,,,,2350 Marine Drive,,Astoria,OR,Astoria Co+op,(503) 325-0027,,,http://www.astoria.coop,https://www.ncg.coop/,46.164300966,-123.811215443
97814,,,,2008 BRoad way Street,,Baker City,OR,Baker Food Coop,541 523-6281,http://www.bakerfoodcoop.org,,Food for change,,44.77647977,-117.830677914
04901,,,,74 Main St,,Waterville,ME,Barrels Market,207 660-4844,,,Food for change,,44.548910769,-69.621277105
53545,,,,1711 Lodge Drive,,Janesville,WI,Basics Co-op,608 754-3925,,,Food for change,,42.69339434,-89.02989119
53545,,,,1711 Lodge Drive,,Janesville,WI,Basics Cooperative Natural Foods,(608) 754-3925,gm@basicshealth.com,,http://www.basicshealth.com,https://www.ncg.coop/,42.69339434,-89.02989119
11209,,,,93223rdAvenue,,Brooklyn,NY,BayRidgeFoodCo-op(organizing),N/A,http://www.foodcoopbayridge.squarespace.com,,https://www.nationalco-opdirectory.com,,40.625927678,-74.02915091
